,cumulative_susceptible,cumulative_infected,cumulative_dead,cumulative_recovered
386,294946220.0,32476146,577634,0.0
387,294904623.0,32516869,578508,0.0
388,294859124.0,32561573,579303,0.0
389,294810769.0,32609130,580101,0.0
390,294761880.0,32657260,580860,0.0
391,294727574.0,32690935,581491,0.0
392,294705898.0,32712362,581740,0.0
393,294668688.0,32749160,582152,0.0
394,294634338.0,32782822,582840,0.0
395,294597744.0,32818648,583608,0.0
396,294558902.0,32856724,584374,0.0
397,294515986.0,32898984,585030,0.0
398,294486629.0,32927841,585530,0.0
399,294469477.0,32944716,585807,0.0
400,294440460.0,32973337,586203,0.0
401,294411900.0,33001126,586974,0.0
402,294381922.0,33030427,587651,0.0
403,294351039.0,33060633,588328,0.0
404,294322477.0,33088579,588944,0.0
405,294302181.0,33108377,589442,0.0
406,294289115.0,33121245,589640,0.0
407,294262854.0,33147060,590086,0.0
408,294239481.0,33169799,590720,0.0
409,294214526.0,33193775,591699,0.0
410,294185716.0,33221223,593061,0.0
411,294163294.0,33243082,593624,0.0
412,294150960.0,33255083,593957,0.0
413,294144091.0,33261817,594092,0.0
414,294138163.0,33267592,594245,0.0
415,294114573.0,33290532,594895,0.0
416,294097097.0,33307449,595454,0.0
417,294077398.0,33326529,596073,0.0
418,294060021.0,33343379,596600,0.0
419,294045731.0,33357285,596984,0.0
420,294040164.0,33362680,597156,0.0
421,294024350.0,33378176,597474,0.0
422,294010995.0,33391189,597816,0.0
423,293991897.0,33409836,598267,0.0
424,293976919.0,33424381,598700,0.0
425,293951569.0,33449080,599351,0.0
426,293943047.0,33457308,599645,0.0
427,293938156.0,33462085,599759,0.0
428,293925246.0,33474815,599939,0.0
429,293913620.0,33486120,600260,0.0
430,293900817.0,33498545,600638,0.0
431,293890138.0,33508938,600924,0.0
432,293868947.0,33529529,601524,0.0
433,293860254.0,33538049,601697,0.0
434,293856273.0,33541941,601786,0.0
435,293843663.0,33554275,602062,0.0
436,293832395.0,33565215,602390,0.0
437,293819578.0,33577651,602771,0.0
438,293806403.0,33590481,603116,0.0
439,293782190.0,33614196,603614,0.0
440,293774737.0,33621499,603764,0.0
441,293770740.0,33625419,603841,0.0
442,293755503.0,33640502,603995,0.0
443,293743835.0,33651852,604313,0.0
444,293730466.0,33664970,604564,0.0
445,293715693.0,33679433,604874,0.0
446,293685325.0,33709325,605350,0.0
447,293680504.0,33714064,605432,0.0
448,293676770.0,33717761,605469,0.0
449,293671191.0,33723289,605520,0.0
450,293646626.0,33747513,605861,0.0
451,293623400.0,33770444,606156,0.0
452,293603079.0,33790505,606416,0.0
453,293554331.0,33838746,606923,0.0
454,293545153.0,33847784,607063,0.0
455,293538957.0,33853948,607095,0.0
456,293503699.0,33888961,607340,0.0
457,293476917.0,33915385,607698,0.0
458,293444737.0,33947230,608033,0.0
459,293416039.0,33975642,608319,0.0
460,293336335.0,34054952,608713,0.0
461,293323301.0,34067912,608787,0.0
462,293311112.0,34079960,608928,0.0
463,293258783.0,34132071,609146,0.0
464,293215789.0,34174774,609437,0.0
465,293163420.0,34226806,609774,0.0
466,293106247.0,34283648,610105,0.0
467,292986562.0,34402806,610632,0.0
468,292958641.0,34430608,610751,0.0
469,292945385.0,34443821,610794,0.0
470,292855752.0,34533179,611069,0.0
471,292784569.0,34603919,611512,0.0
472,292715409.0,34672690,611901,0.0
473,292636916.0,34750860,612224,0.0
474,292441414.0,34945468,613118,0.0
475,292408458.0,34978276,613266,0.0
476,292383245.0,35003417,613338,0.0
477,292254817.0,35131393,613790,0.0
478,292147679.0,35237950,614371,0.0
479,292054473.0,35330664,614863,0.0
480,291944112.0,35440488,615400,0.0
481,291687983.0,35695469,616548,0.0
482,291643676.0,35739551,616773,0.0
483,291619330.0,35763785,616885,0.0
484,291434433.0,35948188,617379,0.0
485,291326825.0,36055002,618173,0.0
486,291191306.0,36190179,618515,0.0
487,291074147.0,36306724,619129,0.0
488,290781418.0,36597564,621018,0.0
489,290738474.0,36640271,621255,0.0
490,290699822.0,36678753,621425,0.0
491,290488968.0,36888921,622111,0.0
492,290359034.0,37017854,623112,0.0
493,290220073.0,37155669,624258,0.0
494,290080693.0,37294141,625166,0.0
